Product Name,Current Price,Original Price
"LG GC-X257CQES Side by Side Fridge, 635 L …","KES 349,995","KES 424,995"
"LG GC-FB507PQAM Side by Side Fridge, 519 L …","KES 137,995","KES 199,995"
Hisense RC-75WS4SA Side by Side Inverter Fridge - …,"KES 99,995","KES 134,995"
Beko BFF255 Side By Side 472L - Silver,"KES 109,995","KES 139,995"
Hisense RC-70WS4SA Side by Side Inverter Fridge - …,"KES 179,995","KES 249,995"
Hisense RC-68WC4SB 4 Door Fridge - 579L,"KES 319,995","KES 399,995"
LG GC-B257KQJW Side by Side Fridge 664L - …,"KES 164,995","KES 209,995"
LG GC-X267MSEW 635(L) | Mirror InstaView Door-in-Door™ | …,"KES 329,995","KES 439,995"
VON VARZ-20NHK Side by Side Refrigerator- 442L,"KES 104,995","KES 129,995"
"Von VRZ-520NVAK Side by Side Fridge, 513L Inverter, …","KES 129,995","KES 179,995"
VON VRZ-529NVAK Side By Side Fridge 529L Black …,"KES 124,995","KES 144,995"
"LG GC-L257KLKW Side by Side Fridge, 641L – …","KES 227,995","KES 262,995"
Samsung RS57DG4000M9 Side by Side Fridge 583 Litres …,"KES 144,990","KES 169,995"
